eventid,iyear,imonth,iday,country_txt,region_txt,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt,nkill,nwound,summary
1970000470,1981,10,12,Mexico,North America,Tijuana,Hostage Taking (Kidnapping),Government (General),Far-right cell,Vehicle (non-explosive),1,4,"Far-right cell conducted a Hostage Taking (Kidnapping) on a government (general) target in Tijuana, causing 1 deaths."
1970000471,1981,9,12,United States,North America,Atlanta,Unarmed Assault,Terrorists/Non-State Militia,Unknown,Explosives,1,5,Improvised explosive device targeting terrorists/non-state militia detonated in Atlanta; Unknown suspected.
1970000472,1981,11,4,Chile,South America,Valparaíso,Hostage Taking (Kidnapping),Military,FARC-EP dissidents,Firearms,1,5,Hostage Taking (Kidnapping) targeting Military in Valparaíso; 1 fatalities. Claim by FARC-EP dissidents.
1970000473,1981,8,25,Colombia,South America,Cali,Hostage Taking (Kidnapping),Transportation,ELN,Chemical,0,4,Coordinated Hostage Taking (Kidnapping) on Transportation in Cali. Attribution to ELN.
1970000474,1981,10,10,Peru,South America,Lima,Hijacking,Private Citizens & Property,FARC-EP dissidents,Firearms,3,10,Hijacking targeting Private Citizens & Property in Lima; 3 fatalities. Claim by FARC-EP dissidents.
1970000475,1981,3,2,Colombia,South America,Bogotá,Unarmed Assault,Business,ELN,Vehicle (non-explosive),8,10,Improvised explosive device targeting business detonated in Bogotá; ELN suspected.
1970000476,1981,3,26,Honduras,Central America & Caribbean,Tegucigalpa,Armed Assault,Police,Unknown,Chemical,2,6,Improvised explosive device targeting police detonated in Tegucigalpa; Unknown suspected.
1970000477,1981,10,24,Cuba,Central America & Caribbean,Havana,Armed Assault,Business,MS-13 splinter,Melee,12,27,MS-13 splinter attacked Business in Havana using melee. 12 killed and 27 wounded reported.
1970000478,1981,1,16,Cuba,Central America & Caribbean,Havana,Hostage Taking (Kidnapping),Religious Figures/Institutions,MS-13 splinter,Chemical,3,3,Hostage Taking (Kidnapping) targeting Religious Figures/Institutions in Havana; 3 fatalities. Claim by MS-13 splinter.
1970000479,1981,5,23,Honduras,Central America & Caribbean,Tegucigalpa,Assassination,Terrorists/Non-State Militia,Local insurgent cell,Chemical,11,11,Coordinated Assassination on Terrorists/Non-State Militia in Tegucigalpa. Attribution to Local insurgent cell.
1970000480,1982,8,18,France,Western Europe,Nice,Facility/Infrastructure Attack,Religious Figures/Institutions,Far-right cell,Sabotage Equipment,0,6,"Far-right cell conducted a Facility/Infrastructure Attack on a religious figures/institutions target in Nice, causing 0 deaths."
1970000481,1982,9,11,United Kingdom,Western Europe,London,Armed Assault,Government (General),IRA-aligned militants,Melee,0,5,Coordinated Armed Assault on Government (General) in London. Attribution to IRA-aligned militants.
1970000482,1982,6,17,Belgium,Western Europe,Brussels,Unarmed Assault,Government (General),Unknown,Chemical,2,1,Improvised explosive device targeting government (general) detonated in Brussels; Unknown suspected.
1970000483,1982,9,15,United Kingdom,Western Europe,London,Hostage Taking (Kidnapping),Police,IRA-aligned militants,Incendiary,2,9,Improvised explosive device targeting police detonated in London; IRA-aligned militants suspected.
1970000484,1982,4,14,Belarus,Eastern Europe,Minsk,Hijacking,Private Citizens & Property,Russian-backed separatists,Incendiary,0,9,Coordinated Hijacking on Private Citizens & Property in Minsk. Attribution to Russian-backed separatists.
1970000485,1982,11,6,Ukraine,Eastern Europe,Odesa,Assassination,Private Citizens & Property,Far-right militia,Chemical,1,0,Improvised explosive device targeting private citizens & property detonated in Odesa; Far-right militia suspected.
1970000486,1982,3,4,Russia,Eastern Europe,St Petersburg,Hostage Taking (Kidnapping),Educational Institution,Unknown,Chemical,3,1,"Unknown conducted a Hostage Taking (Kidnapping) on a educational institution target in St Petersburg, causing 3 deaths."
1970000487,1982,1,18,Russia,Eastern Europe,Volgograd,Bombing/Explosion,Religious Figures/Institutions,Far-right militia,Firearms,0,6,Far-right militia attacked Religious Figures/Institutions in Volgograd using firearms. 0 killed and 6 wounded reported.
1970000488,1982,3,4,Yemen,Middle East & North Africa,Aden,Unarmed Assault,Business,Local jihadist cell,Incendiary,6,16,Improvised explosive device targeting business detonated in Aden; Local jihadist cell suspected.
1970000489,1982,11,16,Lebanon,Middle East & North Africa,Sidon,Assassination,Utilities,PKK-aligned,Incendiary,1,0,Improvised explosive device targeting utilities detonated in Sidon; PKK-aligned suspected.
1970000490,1982,7,24,Yemen,Middle East & North Africa,Aden,Hostage Taking (Kidnapping),Educational Institution,Houthi militants,Vehicle (non-explosive),0,10,Coordinated Hostage Taking (Kidnapping) on Educational Institution in Aden. Attribution to Houthi militants.
1970000491,1982,5,20,Lebanon,Middle East & North Africa,Sidon,Hostage Taking (Kidnapping),Transportation,Hezbollah-aligned,Chemical,9,32,Improvised explosive device targeting transportation detonated in Sidon; Hezbollah-aligned suspected.
1970000492,1982,5,12,Kenya,Sub-Saharan Africa,Mombasa,Unarmed Assault,Government (General),Boko Haram,Incendiary,3,3,"Boko Haram conducted a Unarmed Assault on a government (general) target in Mombasa, causing 3 deaths."
1970000493,1982,2,24,Sudan,Sub-Saharan Africa,Darfur,Bombing/Explosion,Business,Boko Haram,Chemical,3,6,"Boko Haram conducted a Bombing/Explosion on a business target in Darfur, causing 3 deaths."
1970000494,1982,4,7,Mali,Sub-Saharan Africa,Gao,Bombing/Explosion,Utilities,Al-Shabaab,Explosives,3,6,"Al-Shabaab conducted a Bombing/Explosion on a utilities target in Gao, causing 3 deaths."
1970000495,1982,9,5,South Africa,Sub-Saharan Africa,Johannesburg,Hostage Taking (Kidnapping),Police,ISWAP,Firearms,2,9,Improvised explosive device targeting police detonated in Johannesburg; ISWAP suspected.
1970000496,1982,9,18,Pakistan,South Asia,Quetta,Armed Assault,Educational Institution,Maoist insurgents,Incendiary,124,61,Maoist insurgents attacked Educational Institution in Quetta using incendiary. 124 killed and 61 wounded reported.
1970000497,1982,5,5,Afghanistan,South Asia,Kandahar,Bombing/Explosion,Terrorists/Non-State Militia,Unknown,Chemical,3,6,"Unknown conducted a Bombing/Explosion on a terrorists/non-state militia target in Kandahar, causing 3 deaths."
1970000498,1982,4,26,Sri Lanka,South Asia,Jaffna,Hostage Taking (Kidnapping),Police,Unknown,Sabotage Equipment,0,2,Improvised explosive device targeting police detonated in Jaffna; Unknown suspected.
1970000499,1982,12,6,Pakistan,South Asia,Peshawar,Assassination,Journalists & Media,Maoist insurgents,Firearms,3,6,Maoist insurgents attacked Journalists & Media in Peshawar using firearms. 3 killed and 6 wounded reported.
1970000500,1982,11,3,Thailand,Southeast Asia,Yala,Hijacking,Police,MILF dissidents,Vehicle (non-explosive),1,0,Improvised explosive device targeting police detonated in Yala; MILF dissidents suspected.
1970000501,1982,1,11,Philippines,Southeast Asia,Manila,Facility/Infrastructure Attack,Transportation,BIFF,Firearms,2,2,BIFF attacked Transportation in Manila using firearms. 2 killed and 2 wounded reported.
1970000502,1982,1,27,Thailand,Southeast Asia,Pattani,Assassination,Government (General),Unknown,Firearms,3,3,Improvised explosive device targeting government (general) detonated in Pattani; Unknown suspected.
1970000503,1982,7,10,Philippines,Southeast Asia,Davao,Facility/Infrastructure Attack,Transportation,BIFF,Sabotage Equipment,3,9,Improvised explosive device targeting transportation detonated in Davao; BIFF suspected.
1970000504,1982,10,5,South Korea,East Asia,Busan,Hijacking,Utilities,Domestic militant cell,Chemical,1,7,Coordinated Hijacking on Utilities in Busan. Attribution to Domestic militant cell.
1970000505,1982,6,22,South Korea,East Asia,Busan,Assassination,Educational Institution,Domestic militant cell,Sabotage Equipment,1,7,Assassination targeting Educational Institution in Busan; 1 fatalities. Claim by Domestic militant cell.
1970000506,1982,5,25,Japan,East Asia,Osaka,Hostage Taking (Kidnapping),Journalists & Media,Domestic militant cell,Incendiary,0,5,Hostage Taking (Kidnapping) targeting Journalists & Media in Osaka; 0 fatalities. Claim by Domestic militant cell.
1970000507,1982,1,15,Taiwan,East Asia,Taipei,Facility/Infrastructure Attack,Government (General),Domestic militant cell,Melee,0,7,"Domestic militant cell conducted a Facility/Infrastructure Attack on a government (general) target in Taipei, causing 0 deaths."
1970000508,1982,1,1,Canada,North America,Toronto,Assassination,Police,Far-right cell,Sabotage Equipment,9,36,"Far-right cell conducted a Assassination on a police target in Toronto, causing 9 deaths."
1970000509,1982,8,13,United States,North America,Los Angeles,Hijacking,Utilities,Eco-radical cell,Melee,0,3,Hijacking targeting Utilities in Los Angeles; 0 fatalities. Claim by Eco-radical cell.
1970000510,1982,10,23,Canada,North America,Montreal,Unarmed Assault,Military,Unknown,Sabotage Equipment,3,0,Coordinated Unarmed Assault on Military in Montreal. Attribution to Unknown.
1970000511,1982,9,3,United States,North America,Boston,Unarmed Assault,Police,Lone-wolf attacker,Sabotage Equipment,2,1,"Lone-wolf attacker conducted a Unarmed Assault on a police target in Boston, causing 2 deaths."
1970000512,1982,10,13,Chile,South America,Santiago,Bombing/Explosion,Utilities,Shining Path remnants,Incendiary,0,5,Bombing/Explosion targeting Utilities in Santiago; 0 fatalities. Claim by Shining Path remnants.
1970000513,1982,5,4,Peru,South America,Lima,Facility/Infrastructure Attack,Terrorists/Non-State Militia,Unknown,Chemical,3,2,Unknown attacked Terrorists/Non-State Militia in Lima using chemical. 3 killed and 2 wounded reported.
1970000514,1982,7,10,Argentina,South America,Rosario,Armed Assault,Terrorists/Non-State Militia,FARC-EP dissidents,Chemical,1,0,Armed Assault targeting Terrorists/Non-State Militia in Rosario; 1 fatalities. Claim by FARC-EP dissidents.
1970000515,1982,6,11,Colombia,South America,Bogotá,Hostage Taking (Kidnapping),Religious Figures/Institutions,ELN,Sabotage Equipment,0,1,ELN attacked Religious Figures/Institutions in Bogotá using sabotage equipment. 0 killed and 1 wounded reported.
1970000516,1982,2,24,Honduras,Central America & Caribbean,Tegucigalpa,Armed Assault,NGO,Unknown,Chemical,9,32,"Unknown conducted a Armed Assault on a ngo target in Tegucigalpa, causing 9 deaths."
1970000517,1982,9,4,Cuba,Central America & Caribbean,Havana,Hostage Taking (Kidnapping),Military,MS-13 splinter,Melee,2,10,Coordinated Hostage Taking (Kidnapping) on Military in Havana. Attribution to MS-13 splinter.
1970000518,1982,9,14,Honduras,Central America & Caribbean,Tegucigalpa,Armed Assault,Police,Unknown,Melee,51,51,Armed Assault targeting Police in Tegucigalpa; 51 fatalities. Claim by Unknown.
1970000519,1982,6,10,Cuba,Central America & Caribbean,Havana,Hijacking,NGO,Local insurgent cell,Melee,1,3,Local insurgent cell attacked NGO in Havana using melee. 1 killed and 3 wounded reported.
1970000520,1983,2,3,Belgium,Western Europe,Brussels,Facility/Infrastructure Attack,Utilities,Far-right cell,Explosives,1,7,"Far-right cell conducted a Facility/Infrastructure Attack on a utilities target in Brussels, causing 1 deaths."
1970000521,1983,7,20,Spain,Western Europe,Madrid,Unarmed Assault,Police,Far-right cell,Incendiary,11,30,Unarmed Assault targeting Police in Madrid; 11 fatalities. Claim by Far-right cell.
1970000522,1983,9,7,Germany,Western Europe,Munich,Armed Assault,Journalists & Media,Basque separatist faction,Melee,0,8,Armed Assault targeting Journalists & Media in Munich; 0 fatalities. Claim by Basque separatist faction.
1970000523,1983,1,18,Belgium,Western Europe,Brussels,Assassination,NGO,Far-right cell,Chemical,1,6,Coordinated Assassination on NGO in Brussels. Attribution to Far-right cell.
1970000524,1983,12,3,Russia,Eastern Europe,Grozny,Hostage Taking (Kidnapping),Utilities,Chechen militants,Explosives,140,415,Chechen militants attacked Utilities in Grozny using explosives. 140 killed and 415 wounded reported.
1970000525,1983,9,23,Poland,Eastern Europe,Gdansk,Facility/Infrastructure Attack,Police,Russian-backed separatists,Sabotage Equipment,3,9,"Russian-backed separatists conducted a Facility/Infrastructure Attack on a police target in Gdansk, causing 3 deaths."
1970000526,1983,8,17,Ukraine,Eastern Europe,Kyiv,Facility/Infrastructure Attack,Journalists & Media,Chechen militants,Chemical,3,1,Chechen militants attacked Journalists & Media in Kyiv using chemical. 3 killed and 1 wounded reported.
1970000527,1983,11,25,Poland,Eastern Europe,Warsaw,Hostage Taking (Kidnapping),Government (General),Russian-backed separatists,Chemical,102,168,Coordinated Hostage Taking (Kidnapping) on Government (General) in Warsaw. Attribution to Russian-backed separatists.
1970000528,1983,10,13,Yemen,Middle East & North Africa,Hodeidah,Bombing/Explosion,Private Citizens & Property,Houthi militants,Vehicle (non-explosive),11,13,Houthi militants attacked Private Citizens & Property in Hodeidah using vehicle (non-explosive). 11 killed and 13 wounded reported.
1970000529,1983,4,13,Syria,Middle East & North Africa,Damascus,Unarmed Assault,Utilities,Hamas-aligned,Sabotage Equipment,14,15,"Hamas-aligned conducted a Unarmed Assault on a utilities target in Damascus, causing 14 deaths."
1970000530,1983,10,20,Egypt,Middle East & North Africa,Alexandria,Facility/Infrastructure Attack,Utilities,Hamas-aligned,Chemical,1,1,Improvised explosive device targeting utilities detonated in Alexandria; Hamas-aligned suspected.
1970000531,1983,4,5,Iraq,Middle East & North Africa,Baghdad,Bombing/Explosion,Government (General),ISIL-affiliated,Firearms,2,1,Improvised explosive device targeting government (general) detonated in Baghdad; ISIL-affiliated suspected.
1970000532,1983,2,21,South Africa,Sub-Saharan Africa,Johannesburg,Armed Assault,Utilities,ISWAP,Explosives,1,4,Improvised explosive device targeting utilities detonated in Johannesburg; ISWAP suspected.
1970000533,1983,11,28,Ethiopia,Sub-Saharan Africa,Addis Ababa,Facility/Infrastructure Attack,Government (General),ADF,Vehicle (non-explosive),1,6,Facility/Infrastructure Attack targeting Government (General) in Addis Ababa; 1 fatalities. Claim by ADF.
1970000534,1983,4,3,South Africa,Sub-Saharan Africa,Johannesburg,Armed Assault,Educational Institution,Boko Haram,Explosives,2,1,Boko Haram attacked Educational Institution in Johannesburg using explosives. 2 killed and 1 wounded reported.
1970000535,1983,11,17,Mali,Sub-Saharan Africa,Bamako,Facility/Infrastructure Attack,Terrorists/Non-State Militia,JNIM-affiliated,Vehicle (non-explosive),2,30,Facility/Infrastructure Attack targeting Terrorists/Non-State Militia in Bamako; 2 fatalities. Claim by JNIM-affiliated.
1970000536,1983,12,6,Afghanistan,South Asia,Jalalabad,Armed Assault,Religious Figures/Institutions,Tehrik-i-Taliban Pakistan,Sabotage Equipment,3,6,Coordinated Armed Assault on Religious Figures/Institutions in Jalalabad. Attribution to Tehrik-i-Taliban Pakistan.
1970000537,1983,8,8,Pakistan,South Asia,Quetta,Hijacking,Transportation,Taliban-affiliated,Vehicle (non-explosive),3,0,Hijacking targeting Transportation in Quetta; 3 fatalities. Claim by Taliban-affiliated.
1970000538,1983,1,9,India,South Asia,Srinagar,Facility/Infrastructure Attack,Utilities,Unknown,Firearms,2,4,Facility/Infrastructure Attack targeting Utilities in Srinagar; 2 fatalities. Claim by Unknown.
1970000539,1983,7,7,India,South Asia,Mumbai,Unarmed Assault,Private Citizens & Property,Unknown,Chemical,3,6,Unarmed Assault targeting Private Citizens & Property in Mumbai; 3 fatalities. Claim by Unknown.
1970000540,1983,12,23,Indonesia,Southeast Asia,Bali,Hostage Taking (Kidnapping),Utilities,Unknown,Sabotage Equipment,124,124,Unknown attacked Utilities in Bali using sabotage equipment. 124 killed and 124 wounded reported.
1970000541,1983,5,19,Thailand,Southeast Asia,Yala,Assassination,Private Citizens & Property,Unknown,Chemical,3,8,Coordinated Assassination on Private Citizens & Property in Yala. Attribution to Unknown.
1970000542,1983,2,13,Indonesia,Southeast Asia,Surabaya,Facility/Infrastructure Attack,Terrorists/Non-State Militia,MILF dissidents,Melee,2,4,MILF dissidents attacked Terrorists/Non-State Militia in Surabaya using melee. 2 killed and 4 wounded reported.
1970000543,1983,10,5,Philippines,Southeast Asia,Sulu,Assassination,Police,BIFF,Incendiary,0,0,Assassination targeting Police in Sulu; 0 fatalities. Claim by BIFF.
1970000544,1983,9,11,South Korea,East Asia,Busan,Hostage Taking (Kidnapping),Police,Domestic militant cell,Vehicle (non-explosive),3,3,"Domestic militant cell conducted a Hostage Taking (Kidnapping) on a police target in Busan, causing 3 deaths."
1970000545,1983,2,23,South Korea,East Asia,Seoul,Armed Assault,Business,Domestic militant cell,Melee,3,0,"Domestic militant cell conducted a Armed Assault on a business target in Seoul, causing 3 deaths."
1970000546,1983,8,13,Japan,East Asia,Tokyo,Bombing/Explosion,Journalists & Media,Unknown,Incendiary,1,6,Bombing/Explosion targeting Journalists & Media in Tokyo; 1 fatalities. Claim by Unknown.
1970000547,1983,8,9,China,East Asia,Kunming,Hostage Taking (Kidnapping),Business,Unknown,Firearms,1,9,Hostage Taking (Kidnapping) targeting Business in Kunming; 1 fatalities. Claim by Unknown.
1970000548,1983,6,27,Canada,North America,Ottawa,Hijacking,Journalists & Media,Far-right cell,Incendiary,2,0,Improvised explosive device targeting journalists & media detonated in Ottawa; Far-right cell suspected.
1970000549,1983,9,8,Canada,North America,Montreal,Hostage Taking (Kidnapping),Transportation,Far-right cell,Sabotage Equipment,3,30,Coordinated Hostage Taking (Kidnapping) on Transportation in Montreal. Attribution to Far-right cell.
1970000550,1983,10,13,Canada,North America,Ottawa,Assassination,Government (General),Lone-wolf attacker,Explosives,3,3,Lone-wolf attacker attacked Government (General) in Ottawa using explosives. 3 killed and 3 wounded reported.
1970000551,1983,8,24,Canada,North America,Toronto,Bombing/Explosion,Private Citizens & Property,Eco-radical cell,Sabotage Equipment,11,13,"Eco-radical cell conducted a Bombing/Explosion on a private citizens & property target in Toronto, causing 11 deaths."
1970000552,1983,5,17,Peru,South America,Ayacucho,Hostage Taking (Kidnapping),Police,FARC-EP dissidents,Firearms,0,1,FARC-EP dissidents attacked Police in Ayacucho using firearms. 0 killed and 1 wounded reported.
1970000553,1983,1,5,Colombia,South America,Cali,Unarmed Assault,Religious Figures/Institutions,Unknown,Sabotage Equipment,70,199,Coordinated Unarmed Assault on Religious Figures/Institutions in Cali. Attribution to Unknown.
1970000554,1983,8,28,Peru,South America,Lima,Bombing/Explosion,Terrorists/Non-State Militia,Shining Path remnants,Melee,158,283,Coordinated Bombing/Explosion on Terrorists/Non-State Militia in Lima. Attribution to Shining Path remnants.
1970000555,1983,2,10,Chile,South America,Santiago,Unarmed Assault,Government (General),FARC-EP dissidents,Incendiary,1,5,Improvised explosive device targeting government (general) detonated in Santiago; FARC-EP dissidents suspected.
1970000556,1983,4,9,El Salvador,Central America & Caribbean,San Salvador,Assassination,Government (General),MS-13 splinter,Explosives,3,6,MS-13 splinter attacked Government (General) in San Salvador using explosives. 3 killed and 6 wounded reported.
1970000557,1983,11,23,El Salvador,Central America & Caribbean,San Salvador,Hijacking,Police,Local insurgent cell,Incendiary,2,10,Improvised explosive device targeting police detonated in San Salvador; Local insurgent cell suspected.
1970000558,1983,6,2,Honduras,Central America & Caribbean,Tegucigalpa,Armed Assault,Utilities,Local insurgent cell,Sabotage Equipment,12,20,Improvised explosive device targeting utilities detonated in Tegucigalpa; Local insurgent cell suspected.
1970000559,1983,6,8,Cuba,Central America & Caribbean,Havana,Hijacking,Educational Institution,Unknown,Melee,3,10,Improvised explosive device targeting educational institution detonated in Havana; Unknown suspected.
1970000560,1984,9,21,Belgium,Western Europe,Brussels,Hostage Taking (Kidnapping),Military,Basque separatist faction,Incendiary,7,15,"Basque separatist faction conducted a Hostage Taking (Kidnapping) on a military target in Brussels, causing 7 deaths."
1970000561,1984,5,6,Germany,Western Europe,Berlin,Hijacking,Utilities,Anarchist cell,Incendiary,15,34,Coordinated Hijacking on Utilities in Berlin. Attribution to Anarchist cell.
1970000562,1984,9,17,United Kingdom,Western Europe,Belfast,Assassination,Transportation,IRA-aligned militants,Incendiary,1,0,Assassination targeting Transportation in Belfast; 1 fatalities. Claim by IRA-aligned militants.
1970000563,1984,12,7,Spain,Western Europe,Madrid,Assassination,Police,Anarchist cell,Sabotage Equipment,1,0,"Anarchist cell conducted a Assassination on a police target in Madrid, causing 1 deaths."
1970000564,1984,1,5,Belarus,Eastern Europe,Minsk,Hijacking,Educational Institution,Chechen militants,Vehicle (non-explosive),6,6,Improvised explosive device targeting educational institution detonated in Minsk; Chechen militants suspected.
1970000565,1984,2,22,Ukraine,Eastern Europe,Donetsk,Armed Assault,NGO,Russian-backed separatists,Incendiary,1,6,Armed Assault targeting NGO in Donetsk; 1 fatalities. Claim by Russian-backed separatists.
1970000566,1984,1,5,Romania,Eastern Europe,Bucharest,Facility/Infrastructure Attack,Military,Unknown,Explosives,7,10,"Unknown conducted a Facility/Infrastructure Attack on a military target in Bucharest, causing 7 deaths."
1970000567,1984,11,4,Russia,Eastern Europe,Grozny,Hijacking,Utilities,Russian-backed separatists,Chemical,0,7,Improvised explosive device targeting utilities detonated in Grozny; Russian-backed separatists suspected.
1970000568,1984,7,22,Libya,Middle East & North Africa,Misrata,Armed Assault,Private Citizens & Property,PKK-aligned,Melee,176,316,PKK-aligned attacked Private Citizens & Property in Misrata using melee. 176 killed and 316 wounded reported.
1970000569,1984,7,18,Iraq,Middle East & North Africa,Kirkuk,Bombing/Explosion,Business,Local jihadist cell,Sabotage Equipment,9,37,Bombing/Explosion targeting Business in Kirkuk; 9 fatalities. Claim by Local jihadist cell.
1970000570,1984,5,21,Syria,Middle East & North Africa,Idlib,Facility/Infrastructure Attack,NGO,Local jihadist cell,Vehicle (non-explosive),0,3,Improvised explosive device targeting ngo detonated in Idlib; Local jihadist cell suspected.
1970000571,1984,4,25,Iraq,Middle East & North Africa,Kirkuk,Facility/Infrastructure Attack,Private Citizens & Property,ISIL-affiliated,Chemical,3,5,ISIL-affiliated attacked Private Citizens & Property in Kirkuk using chemical. 3 killed and 5 wounded reported.
1970000572,1984,6,10,South Africa,Sub-Saharan Africa,Durban,Armed Assault,Religious Figures/Institutions,Al-Shabaab,Incendiary,2,34,Armed Assault targeting Religious Figures/Institutions in Durban; 2 fatalities. Claim by Al-Shabaab.
1970000573,1984,9,17,Mali,Sub-Saharan Africa,Bamako,Hijacking,Educational Institution,Al-Shabaab,Sabotage Equipment,2,5,Improvised explosive device targeting educational institution detonated in Bamako; Al-Shabaab suspected.
1970000574,1984,4,5,Ethiopia,Sub-Saharan Africa,Addis Ababa,Assassination,Religious Figures/Institutions,ADF,Vehicle (non-explosive),0,9,Coordinated Assassination on Religious Figures/Institutions in Addis Ababa. Attribution to ADF.
1970000575,1984,9,11,South Africa,Sub-Saharan Africa,Durban,Bombing/Explosion,Terrorists/Non-State Militia,ADF,Vehicle (non-explosive),2,9,ADF attacked Terrorists/Non-State Militia in Durban using vehicle (non-explosive). 2 killed and 9 wounded reported.
1970000576,1984,5,20,Bangladesh,South Asia,Chittagong,Armed Assault,Business,Unknown,Firearms,0,5,Improvised explosive device targeting business detonated in Chittagong; Unknown suspected.
1970000577,1984,7,22,Pakistan,South Asia,Quetta,Bombing/Explosion,Terrorists/Non-State Militia,Maoist insurgents,Sabotage Equipment,0,0,"Maoist insurgents conducted a Bombing/Explosion on a terrorists/non-state militia target in Quetta, causing 0 deaths."
1970000578,1984,1,21,Bangladesh,South Asia,Chittagong,Armed Assault,Private Citizens & Property,Taliban-affiliated,Incendiary,3,1,"Taliban-affiliated conducted a Armed Assault on a private citizens & property target in Chittagong, causing 3 deaths."
1970000579,1984,11,3,India,South Asia,Bangalore,Facility/Infrastructure Attack,Journalists & Media,Tehrik-i-Taliban Pakistan,Chemical,1,8,Facility/Infrastructure Attack targeting Journalists & Media in Bangalore; 1 fatalities. Claim by Tehrik-i-Taliban Pakistan.
1970000580,1984,9,27,Myanmar,Southeast Asia,Rakhine,Hostage Taking (Kidnapping),Utilities,MILF dissidents,Chemical,3,2,Improvised explosive device targeting utilities detonated in Rakhine; MILF dissidents suspected.
1970000581,1984,9,14,Myanmar,Southeast Asia,Rakhine,Facility/Infrastructure Attack,Utilities,BIFF,Incendiary,0,8,Coordinated Facility/Infrastructure Attack on Utilities in Rakhine. Attribution to BIFF.
1970000582,1984,7,26,Philippines,Southeast Asia,Mindanao,Armed Assault,Religious Figures/Institutions,BIFF,Melee,11,24,"BIFF conducted a Armed Assault on a religious figures/institutions target in Mindanao, causing 11 deaths."
1970000583,1984,5,20,Indonesia,Southeast Asia,Jakarta,Assassination,Journalists & Media,MILF dissidents,Sabotage Equipment,3,4,MILF dissidents attacked Journalists & Media in Jakarta using sabotage equipment. 3 killed and 4 wounded reported.
1970000584,1984,3,24,Taiwan,East Asia,Taipei,Facility/Infrastructure Attack,Business,Unknown,Sabotage Equipment,47,441,Facility/Infrastructure Attack targeting Business in Taipei; 47 fatalities. Claim by Unknown.
1970000585,1984,8,19,China,East Asia,Shanghai,Bombing/Explosion,Business,Domestic militant cell,Vehicle (non-explosive),117,309,Improvised explosive device targeting business detonated in Shanghai; Domestic militant cell suspected.
1970000586,1984,5,20,Japan,East Asia,Osaka,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Domestic militant cell,Vehicle (non-explosive),2,9,Hostage Taking (Kidnapping) targeting Terrorists/Non-State Militia in Osaka; 2 fatalities. Claim by Domestic militant cell.
1970000587,1984,11,26,Japan,East Asia,Tokyo,Hostage Taking (Kidnapping),Police,Unknown,Incendiary,13,36,"Unknown conducted a Hostage Taking (Kidnapping) on a police target in Tokyo, causing 13 deaths."
1970000588,1984,2,22,Canada,North America,Montreal,Bombing/Explosion,Terrorists/Non-State Militia,Far-right cell,Vehicle (non-explosive),0,9,Far-right cell attacked Terrorists/Non-State Militia in Montreal using vehicle (non-explosive). 0 killed and 9 wounded reported.
1970000589,1984,8,7,United States,North America,Atlanta,Hostage Taking (Kidnapping),Religious Figures/Institutions,Lone-wolf attacker,Vehicle (non-explosive),3,6,Coordinated Hostage Taking (Kidnapping) on Religious Figures/Institutions in Atlanta. Attribution to Lone-wolf attacker.
1970000590,1984,10,5,Canada,North America,Toronto,Unarmed Assault,Private Citizens & Property,Far-right cell,Firearms,2,6,Improvised explosive device targeting private citizens & property detonated in Toronto; Far-right cell suspected.
1970000591,1984,3,27,United States,North America,Los Angeles,Assassination,Utilities,Lone-wolf attacker,Sabotage Equipment,3,1,Assassination targeting Utilities in Los Angeles; 3 fatalities. Claim by Lone-wolf attacker.
1970000592,1984,7,12,Peru,South America,Lima,Hijacking,Transportation,ELN,Vehicle (non-explosive),2,3,ELN attacked Transportation in Lima using vehicle (non-explosive). 2 killed and 3 wounded reported.
1970000593,1984,4,13,Brazil,South America,São Paulo,Hijacking,Private Citizens & Property,Shining Path remnants,Incendiary,10,9,Shining Path remnants attacked Private Citizens & Property in São Paulo using incendiary. 10 killed and 9 wounded reported.
1970000594,1984,12,2,Colombia,South America,Medellín,Hijacking,Military,Shining Path remnants,Firearms,136,499,Hijacking targeting Military in Medellín; 136 fatalities. Claim by Shining Path remnants.
1970000595,1984,3,21,Argentina,South America,Buenos Aires,Facility/Infrastructure Attack,Business,Shining Path remnants,Firearms,2,6,Shining Path remnants attacked Business in Buenos Aires using firearms. 2 killed and 6 wounded reported.
1970000596,1984,6,15,Guatemala,Central America & Caribbean,Guatemala City,Facility/Infrastructure Attack,Private Citizens & Property,Unknown,Sabotage Equipment,3,1,Improvised explosive device targeting private citizens & property detonated in Guatemala City; Unknown suspected.
1970000597,1984,11,7,El Salvador,Central America & Caribbean,San Salvador,Hijacking,Utilities,Local insurgent cell,Sabotage Equipment,0,1,Local insurgent cell attacked Utilities in San Salvador using sabotage equipment. 0 killed and 1 wounded reported.
1970000598,1984,1,4,Guatemala,Central America & Caribbean,Guatemala City,Facility/Infrastructure Attack,NGO,MS-13 splinter,Explosives,14,1,Improvised explosive device targeting ngo detonated in Guatemala City; MS-13 splinter suspected.
1970000599,1984,7,24,Honduras,Central America & Caribbean,Tegucigalpa,Armed Assault,Religious Figures/Institutions,Local insurgent cell,Firearms,14,39,"Local insurgent cell conducted a Armed Assault on a religious figures/institutions target in Tegucigalpa, causing 14 deaths."
